Tiempo[ms],Ax,Ay,Az,Gx,Gy,Gz,Clase
21742,-0.332,-4.182,8.927,0.904,-0.142,-1.094,Clase 1
21847,-0.296,-4.333,8.771,-4.234,-0.729,-0.896,Clase 1
21952,-0.378,-4.256,8.774,-1.646,-0.172,-0.262,Clase 1
22056,-0.342,-4.292,8.845,2.071,-0.172,0.211,Clase 1
22162,-0.349,-4.187,8.786,2.278,0.194,0.532,Clase 1
22266,-0.411,-4.136,8.814,1.346,0.019,0.333,Clase 1
22371,-0.399,-4.124,8.862,2.896,0.171,0.425,Clase 1
22476,-0.39,-4.115,9.018,1.278,-0.012,0.196,Clase 1
22581,-0.394,-4.124,8.927,2.232,0.179,0.31,Clase 1
22686,-0.339,-4.045,9.011,1.659,-0.042,0.081,Clase 1
22791,-0.43,-4.007,9.011,1.575,0.133,0.173,Clase 1
22896,-0.425,-4.038,8.987,1.3,-0.004,0.097,Clase 1
23001,-0.366,-3.969,9.023,-1.051,-0.676,-0.483,Clase 1
23106,-0.428,-3.911,8.91,2.644,0.019,0.02,Clase 1
23211,-0.401,-3.947,8.948,2.728,0.034,0.463,Clase 1
23315,-0.39,-4.144,9.035,8.56,0.675,1.402,Clase 1
23420,-0.401,-4.081,8.893,11.987,1.118,2.654,Clase 1
23525,-0.428,-3.911,8.979,3.033,0.255,0.692,Clase 1
23630,-0.392,-3.966,8.958,2.468,0.072,0.501,Clase 1
23735,-0.378,-3.875,8.951,1.812,0.087,0.242,Clase 1
23840,-0.368,-3.878,9.094,0.209,-0.103,-0.056,Clase 1
23945,-0.43,-3.849,9.032,0.789,-0.042,0.227,Clase 1
